"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","field_expo_note_value","field_expo_sous_titre_value","field_oeuvre_adresse_web_url","filenames"
"Art fractal","Espace Paul Ricard, 9 rue Royale, 75008 Paris (FRA)","groupe","1997-04-22T00:00:00","1997-05-24T00:00:00","Henri-François Debailleux","1997-E-PARISRICARD","Cette exposition collective, internationale de surcroît (...) autour de l'Art Fractal, conforte la vocation de l'Espace Paul Ricard à accueillir les courants novateurs de l'art contemporain. L'espace ouvre les regards et s'ouvre aux regards, tel pourrait être le miroir... géométrique que lui renvoie, à travers l'Art Fractal, cette récréation nouvelle de la forme. (Colette Barbier, Responsable espace Paul Ricard).",NULL,NULL,NULL
"Art fractal POIRINO","Centre Culturel Français, Torino et Mulino Poirino, Poirino (ITA)","groupe","1999-01-01T00:00:00","1999-01-01T00:00:00",NULL,"1999-E-POIRINO",NULL,NULL,NULL,NULL
"Art in Motion. 100 Masterpieces With and Through Media","ZKM, Centre d'art et de technologie de Karlsruhe, Karlsruhe, Allemagne","groupe","2018-07-14T00:00:00","2019-02-10T00:00:00","Peter Weibel et Siegfried Zielinski","2018-E-KARLSRUHE","Le vernissage eut lieu le 13/07/2018","An Operative Canon",NULL,NULL
"Art international Istanbul","Istanbul","groupe","2013-09-16T00:00:00","2013-09-18T00:00:00",NULL,"2013-E-ISTANBUL",NULL,NULL,NULL,NULL
"Art Miami 2011","Art Miami","groupe","2011-11-06T00:00:00","2011-11-09T00:00:00","Galerie Priveekollektie ","2011-E-MIAMI","Avec la galerie Priveekollektie (NLD), Miami (USA)",NULL,NULL,NULL
"Art multimédia autour de Miguel Chevalier","Art Metz 3e édition, Parc des expositions, Metz (FRA)","perso","2003-01-01T00:00:00","2003-01-01T00:00:00",NULL,"2003-E-METZ",NULL,NULL,NULL,NULL
"Art Numérique","Musée de Saint Brieuc, Saint Brieuc (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-STBRIEUC",NULL,NULL,NULL,NULL
"Art Paris Art Fair 2013","Sem-art Gallery, Grand Palais, Paris ","groupe","2013-07-02T00:00:00","2013-07-02T00:00:00",NULL,"2013-E-PARISGP","Exposition avec Louise Alexander Gallery",NULL,NULL,NULL
"Art Paris Art Fair 2014","Grand Palais, Art Paris Art Fair, Paris","groupe","2014-03-26T00:00:00","2014-03-29T00:00:00",NULL,"2014-E-PARISGPALEXANDER","Exposition Art Paris Art Fair avec la Galerie Louise Alexander, Porto Cervo (ITA)","Galerie Louise Alexander",NULL,NULL
"Art Paris Art Fair 2014","Grand Palais, Art Paris Art Fair, Paris","groupe","2014-03-26T00:00:00","2014-03-29T00:00:00",NULL,"2014-E-PARISGPMORDOCH","Exposition Art Paris Art Fair avec la Galerie Mordoch","Galerie Mordoch",NULL,NULL
"Art Paris Art Fair 2016","Grand Palais, Paris, France","groupe","2016-03-31T00:00:00","2016-04-03T00:00:00","Guillaume Piens","2016-E-PARISGP","Le vernissage eut lieu le 30/03/2016",NULL,NULL,NULL
"Art Paris Art Fair 2017","Grand Palais, Avenue Winston Churchill - 75008 Paris","groupe","2017-03-30T00:00:00","2017-04-02T00:00:00","Galérie Lélia Mordoch","2017-E-PARISGP","Galerie Lélia Mordoch/Stand B20","Foire d'art",NULL,NULL
"Art Paris Art Fair 2018","Grand Palais, Avenue Winston Churchill, 75008 Paris, France","groupe","2018-04-05T00:00:00","2018-04-08T00:00:00","Galerie Leïla Mordoch","2018-E-PARISGP",NULL,"20 years",NULL,NULL
"Art Paris Art Fair 2019","Grand Palais, Paris (France)","groupe","2019-05-05T00:00:00","2019-05-08T00:00:00","Galerie Lélia Mordoch","2019-E-PARISGRANDPALAIS",NULL,NULL,NULL,NULL
"Art Paris Art Fair 2020","Grand Palais, Paris (FRA)","groupe","2020-09-10T00:00:00","2020-09-13T00:00:00",NULL,"2020-E-PARISGRANDPALAIS","Vernissage 09/09/2020",NULL,NULL,"739a9995.jpg,739a9982.jpg,739a9976.jpg,739a0023.jpg,739a0012.jpg"
"Art Rio 2020","Marina da Glória, Rio de Janeiro (BRA)","groupe","2020-10-15T00:00:00","2020-10-18T00:00:00",NULL,"2020-E-ARTRIO2020","Foire d'art contemporain à Rio de Janeiro et en ligne sur le site web d'Art Rio.",NULL,NULL,NULL
"Arte Botanica, 2019","Domaine de la Roche Jagu, Ploëzal, Bretagne (France)","groupe","2019-05-11T00:00:00","2019-10-06T00:00:00",NULL,"2019-E-ROCHEJAGU",NULL,"Regards d'artistes contemporains",NULL,NULL
"Arte in Francia 1970/1993","Galleria comunale d'arte moderna, Bologne (ITA)","groupe","1994-01-01T00:00:00","1994-01-01T00:00:00","Pierre Restany","1994-E-BOLOGNE",NULL,NULL,NULL,NULL
"Artifices/Artefact","Atelier Arcay, 80-82 rue du chemin vert, 75011 Paris (FRA)","perso","2000-12-15T00:00:00","2001-01-30T00:00:00",NULL,"2000-E-PARISARCAY","Lors du vernissage qui eut lieu le 14/12/2000 deux éditions sérigraphiées sur Plexiglas ont été présentées.",NULL,NULL,NULL
"Artistes & Robots","Grand Palais, Avenue Winston Churchill, 75008 Paris, France","groupe","2018-04-05T00:00:00","2018-07-09T00:00:00","Laurence Bertrand-Dorleac et Jérôme Neutres","2018-E-PARISGPA&R","Le vernissage eut lieu le 04/04/2018 à 18.30.",NULL,NULL,NULL
"Artistes en France","13 galeries commerciales","groupe","2003-04-14T00:00:00","2003-07-14T00:00:00","(artabsolument) et Clear Channel","2003-E-","Exposition sur le premier réseau d'écrans plasma au coeur des plus grandes galeries commerciales en France. 10 artistes, 30 oeuvres, 100 écrans plasma, 13 galeries commerciales.","une oeuvre, un écran, une galerie",NULL,"2003-e-artistesfrancecp2.jpg,2003-e-artistesfrancecp1.jpg"
"Artists & Robots","Centre d'art contemporain d'Astana","groupe","2017-06-10T00:00:00","2017-09-10T00:00:00","Jérôme Neutres, directeur de la stratégie et du développement à la RMN-Grand Palais","2017-E-ASTANA",NULL,NULL,NULL,NULL
"Ateliers 88","A.R.C., Musée d'art moderne de la ville de Paris","groupe","1988-04-28T00:00:00","1988-06-26T00:00:00","Suzanne Page","1988-E-PARISA.R.C.",NULL,NULL,NULL,NULL
"Attracteurs étranges","Atelier Ivry","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2010-E-IVRYAETRANGES","-","-",NULL,"2010-e-ivryaetranges-1.jpg,2010-e-ivryaetranges-2.jpg,2010-e-ivryaetranges-3.jpg,2010-e-ivryaetranges-4.jpg,2010-e-ivryaetranges-5.jpg,2010-e-ivryaetranges-6.jpg"
"Attracteurs étranges","Nantes","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2007-E-NANTES","-","Festival scopitone",NULL,"2007-e-nantes-1.jpg,2007-e-nantes-2.jpg,2007-e-nantes-3.jpg,2007-e-nantes-4.jpg"
"Au doigt et à l'oeil","Centre Culturel Nicolas Peiresc, Toulon, France","groupe","2011-06-01T00:00:00","2011-10-29T00:00:00","ACONIT","2011-E-TOULON","Miguel Chevalier participa à l'exposition avec deux pièces: \"Fenêtre mémoire hexadécimal\", 1992 et \"Mégabytes 2\", 1992.
L'oeuvre \"Mégabytes 2\" revint cassée.","Chroniques informatiques",NULL,"2011-e-toulon3.jpg,2011-e-bytetoulon.jpg,2011-e-toulon2.jpg,2011-e-toulon1.jpg"
"Au fil du jardin","Bry-sur-Marne","perso","2011-04-20T00:00:00","2011-05-22T00:00:00","Commune de Bry sur Marne","2011-E-BRYSURMARNE","Le vernissage a eu lieu le 30/04/2011","Sur-Natures",NULL,"2011-sn-brysurmarne3.jpg,2011-sn-brysurmarne2.jpg"
"Autres Natures CHAUMONT","Domaine de Chaumont-sur-Loire, Chaumont-sur-Loire, (FRA)","groupe","2014-04-12T00:00:00","2014-11-02T00:00:00","Chantal Colleu Dumond, direcrice du Domaine de Chaumont sur Loire","2014-E-CHAUMONTSURLOIRE","Dans la Galerie de la Cour des jardiniers furent exposées aussi les 3 installations de réalité virtuelle génératives \"Cleome Spinosa de Buñuel 2013\"', \"Peyotl Mandragora Officinarum 2013\" et \"Trifolia Sadica 2014\". A coté des chaque installation il y avait la sculpture réalisée par impression 3D - d'après le logiciel Fractal Flowers - correspondante.",NULL,NULL,"2014-e-chaumontsurloire3.png,2014-e-chaumontsurloire1.png,2014-e-chaumontsurloire2.png"
"Autres Natures CLERMONT FERRAND","Galerie Claire Gastaud, Clermont-Ferrand (FRA)","perso","1998-01-01T00:00:00","1998-01-01T00:00:00",NULL,"1998-E-CLERMONTFERRANDGASTAUD",NULL,NULL,NULL,NULL
"Autres natures MONTREUIL","Centre d'Art Moderne Espace Mira Phalaina, Maison Populaire, 9 bis rue Dombasle - 93100 Montreuil (FRA)","perso","2001-01-31T00:00:00","2001-03-03T00:00:00","Anna Anguiano","2001-E-MONTREUIL","Nuage fractal, installation de réalité virtuelle avec Emmanuel Berriet, Logiciel AAASeed",NULL,NULL,NULL
"Autres Natures PARIS LORENZ","Galerie Sylvana Lorenz, 13 rue Chapon, 75003 Paris (FRA)","perso","1996-05-11T00:00:00","1996-06-29T00:00:00","Sylvana Lorenz","1996-E-PARISLORENZ","Le vernissage eut lieu le 11 mai.",NULL,NULL,"1996-e-parislorenzv.jpg"
"Autres Natures SAUMUR","Centre d'art contemporain Bouvet-Ladubay, 49400 Saumur (FRA)","perso","1997-11-08T00:00:00","1998-01-31T00:00:00",NULL,"1997-E-SAUMUR",NULL,NULL,NULL,"1997-e-saumurv.jpg"
"Bains numériques, 2018","Serrurerie, 6 rue de Mora, 95880 Enghien-les-Bains, (F)","perso","2018-06-13T00:00:00","2018-06-17T00:00:00",NULL,"2018-E-ENGHIENLBAINS",NULL,"Biennale internationale des arts numériques",NULL,NULL
"BAM Festival","Manège de la Caserne Fonck de Liège, B, Liège (BEL)","groupe","2016-10-20T00:00:00","2016-10-22T00:00:00","BAM Festival","2016-E-LIEGE","Le BAM a pour ambition de rendre les nouvelles technologies accessibles à tous. Actif depuis 3 ans, il s'est donné pour mission le développement, la production et la diffusion des arts numériques à Liège.","Festival d'arts numériques",NULL,NULL
"Bijoux d'Hommes","Galerie MiniMasterpiece, Paris (FRA)","groupe","2013-05-31T00:00:00","2013-10-14T00:00:00","Galerie miniMASTERPIECE","2013-E-PARISMINI1","Parce que le goût pour l’art contemporain, le design et le luxe n’est pas l’apanage exclusif des femmes (!), la Galerie MiniMasterpiece a conçu une exposition entièrement dédiée aux bijoux pour hommes. Broches, pendentifs, pinces à billets, bracelets, boutons de manchettes, bagues, porte-clés, ceinturons... la galerie rassemblera un ensemble important de bijoux-sculptures spécialement conçus pour l’exposition et/ou montrés pour la première fois à la galerie : Comme par exemple la broche en or Croix de Champagne du sculpteur américain Forrest Myers;
les boutons de manchettes «Couilles de pomme de terre» de l’artiste hollandaise Jacqueline de Jong réalisés à partir de !eur de pommes de terre séchées et trempées dans un bain d’or jaune 18 carats;
la broche et le pendentif numériques de Miguel Chevalier, pionnier de l’art virtuel, a\"n de porter sur soi une animation digitale en édition limitée; ou le collier Sextime du couple d’artistes Mrzyk et Moriceau qui revisite avec humour le pendentif-cloche...","Les artistes et designers contemporains au service des hommes!",NULL,NULL
"Bru sur Marne","Bru sur Marne","perso","1950-01-01T00:00:00","1950-01-01T00:00:00",NULL,"2011-E-BRUSURMARNE",NULL,NULL,NULL,"2011-e-brusurmarne-4.jpg,2011-e-brusurmarne-3.jpg,2011-e-brusurmarne-2.jpg,2011-e-brusurmarne-1.jpg"
"Ça ne se représentera plus","Galeries du Cloître, Ecole des beaux-arts, Rennes (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-RENNES",NULL,NULL,NULL,NULL
"Cabinet Da-End 03","Galerie Da-End, Paris","groupe","2013-05-21T00:00:00","2013-07-20T00:00:00"," Sophie Lekens et Diem Quynh","2013-E-PARISGDAEND","Date du vernissage public: 18/05/2011",NULL,NULL,NULL
"Campus Euro(pe) Art","Université Paris X, Nanterre (FRA)","groupe","2002-01-01T00:00:00","2002-01-01T00:00:00",NULL,"2002-E-NANTERRE",NULL,NULL,NULL,NULL
"Caracas","Centro Cultural Chacao, Caracas (VEN)","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-CARACAS","-",NULL,NULL,"2009-e-caracas-1.jpg,2009-e-caracas-2.jpg,2009-e-caracas-5.jpg,2009-e-caracas-4.jpg,2009-e-caracas-3.jpg"
"Cartographies / Paysages","Galerie Akié Arichi, 26 rue Keller 75011 - Paris (FRA)","groupe","2005-02-23T00:00:00","2005-03-30T00:00:00","Galerie Akié Arichi","2005-E-PARISARICHI","Le vernissage eut lieu le mardi 22 février 2005 de 18h à 21h.
Avec la collaboration de la galerie Suzanne Tarasiève pour Miguel Chevalier.","Images numériques",NULL,NULL
"Cette culture qui vient de la rue","Galerie municipale, Vitry-sur-Seine (FRA","groupe","2000-03-10T00:00:00","2000-05-14T00:00:00","Pierre Restany","2000-E-VITRYSURSEINE",NULL,NULL,NULL,"2000-cb-culturerue1.jpg,2000-cb-culturerue2.jpg"
"Châssis sérigraphiques","Galerie Isabelle Bongard, Paris (FRA)","groupe","1991-01-01T00:00:00","1991-01-01T00:00:00",NULL,"1991-E-PARISBONGARD",NULL,NULL,NULL,NULL
"Chemins d'Art en Armagnac","Eglise d'Aurens, Castelnau-sur-Auvignon","groupe","2012-05-17T00:00:00","2012-06-17T00:00:00","-","2012-E-AURENS","Rosaces Digitales 2012
Festival Chemins d'art en Armagnac
Eglise d'Aurens, Castelnau-sur-Auvignon
Du 17 mai au 17 juin 2012
Rosaces Digitales est une création de réalité virtuel générative inédite réalisée pour Chemin d'art en Armagnac. De grandes rosaces virtuelles sont projetées sur une sphère gonflable suspendue dans les airs. Les rosaces se génèrent une après l'autre et évoluent à l’infini. Leurs formes poussées à l’extrême de leur géométrisation, rappellent les rosaces et les vitraux aux couleurs éclatantes de l’art gothique. Cette sphère de lumière, créait dans l'église une atmosphère magique (logiciel Cyrille Henry).","Rosaces digitales",NULL,"2012-e-csauvignon-4.jpg,2012-e-csauvignon-2.jpg,2012-e-csauvignon-3.jpg,2012-e-csauvignon-1.jpg"
"Chic Art Fair","Galerie Barnoud Docks en Seine, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARISDOCKENSEINE",NULL,NULL,NULL,NULL
"Cinétisme, Abstraction, Figuration","Galerie Lélia Mordoch, 50 rue Mazarine, 75006 Paris (F)","groupe","2019-09-19T00:00:00","2019-10-05T00:00:00",NULL,"2019-E-PARISMORDOCH2",NULL,NULL,NULL,NULL
"Cité des enfants","Paris","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-PARISCITEDENFANTS","-","-",NULL,"2008-e-pariscitedenfants-1.jpg,2008-e-pariscitedenfants-2.jpg,2008-e-pariscitedenfants-3.jpg"
